Page,Button States,Button Icon/Label,MIDI Ch CC,SD Button Type,Value,MIDI Out Port,MIDI In Port,Purpose,Files,CT
B1 - Remix - Perform/Capture - Row 4 Col 6,"Off,
On",SLOT MONITOR (CUE),Ch.10.CC.85,Toggle,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Slot Monitor Off/On. Slot is determined by slot modifier value.,"src/streamdeck-xl/icons/button-creator/slot-monitor-cue-22.png,",6
B1 - Remix - Perform/Capture - Row 4 Col 7,"One-Shot,
Looped",SLOT CELL PLAY MODE,Ch.10.CC.93,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,,"src/streamdeck-xl/icons/button-creator/slot-cell-play-mode-22.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/remix-deck-slot-play-mode.xml,
src/traktor/CT6 - Streamdeck XL.tsi",6
B2 - Remix - Capture - Row 2 Col 6,"Off,
On",LAUNCH QUANTISE,Ch.10.CC.71,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Remix deck launch quantise toggle,"src/streamdeck-xl/icons/button-creator/launch-quantise-22.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
B2 - Remix - Capture - Row 3 Col 2,,Stack of 4 grey dots,Ch.11.CC.85,Cycle,Display only,Bome MIDI Translator 1,Traktor Virtual Output,Displays a basic VU meter,"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333.png

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333-1-8-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333-2-8-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333-3-8-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333-4-8-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333-5-8-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333-6-8-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-333-7-8-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.1x4-fff.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/slot-level.xml",
B2 - Remix - Capture - Row 3 Col 3,,Stack of 4 grey dots,Ch.11.CC.86,Cycle,Display only,Bome MIDI Translator 1,Traktor Virtual Output,Displays a basic VU meter,As above,
B2 - Remix - Capture - Row 3 Col 4,,Stack of 4 grey dots,Ch.11.CC.87,Cycle,Display only,Bome MIDI Translator 1,Traktor Virtual Output,Displays a basic VU meter,As above,
B2 - Remix - Capture - Row 3 Col 5,,Stack of 4 grey dots,Ch.11.CC.88,Cycle,Display only,Bome MIDI Translator 1,Traktor Virtual Output,Displays a basic VU meter,As above,
B2 - Remix - Capture - Row 3 Col 6,,SLOT SIZE ÷2 ⨉2,Ch.10.CC.39,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,"Double the length of the (a) selected sample in the (b) selected slot, exposing more of the loaded slot sample or adding silence after it. Uses the value of Traktor's 'Modifier 2' to determine which slot to act upon.
Shifted: Halve the length of the (a) selected sample in the (b) selected slot, cropping the loaded slot sample. Uses the value of Traktor's 'Modifier 2' to determine which slot to act upon.","src/streamdeck-xl/icons/button-creator/slot-size-half-double-22-23.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
B2 - Remix - Capture - Row 3 Col 7,"Slot 1,

Slot 2,

Slot 3,

Slot 4",4x4 grid of circles with 1 column in white,Ch.11.CC.20,Cycle,Various (XML Cycle file),Bome MIDI Translator 1,Traktor Virtual Output,Select the slot to apply slot-specific actions to,"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/circle.grid.4x4-1-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.4x4-2-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.4x4-3-fff.png,

src/streamdeck-xl/icons/button-creator/circle.grid.4x4-4-fff.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/slot-select.xml",6
B2 - Remix - Capture - Row 4 Col 2,"Deck A,
Deck B,
Deck D,
Loop Red",CAPTURE SOURCE (S8),Ch.10.CC.75,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Display only - shows Capture Source selected by S8 (note: only appropriate flavours of decks can be selected and not the remix deck itself),"src/streamdeck-xl/icons/button-creator/capture-source-s8-22.png,

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/remix-deck-capture-source.xml,
src/traktor/CT6 - Streamdeck XL.tsi",6
B2 - Remix - Capture - Row 4 Col 3,List · Captr To Cell,Depressed button,Ch.11.CC.45,Hold,,Bome MIDI Translator 1,Traktor Virtual Output,,"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/button.horizontal.top.press.fill-23-list-captr-to-cell.png",
B2 - Remix - Capture - Row 4 Col 4,Delete Cell,Depressed button,Ch.11.CC.43,Hold,,Traktor Virtual Input,Traktor Virtual Output,,,
C - Browse / Rename - Row 1 Col 1,Top,Up Arrow,Ch.10.CC.08,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's 'Selected Up/Down (Browser.List)' (Up) (move up one row, hold to repeat)

Shifted: Calls Traktor's 'Select Top/Bottom' (Top) (jumps to top of list)","src/streamdeck-xl/icons/button-creator/arrowshape.up.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
C - Browse / Rename - Row 1 Col 2,"Decks,

Browser",Various,Ch.10.CC.31,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,"Toggle layout (Decks necessary for Bome clicks, Browser necessary for viewing the track list)","src/streamdeck-xl/icons/button-creator/list.triangle.png,

src/streamdeck-xl/icons/button-creator/circle.grid.2x2.fill.png

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/layout.xml,
src/traktor/CT6 - Streamdeck XL.tsi",6
C - Browse / Rename - Row 1 Col 3,Prep List,Plus Sign,Ch.10.CC.34,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Append to Preparation List’ (add selected track to Preparation List playlist),"src/streamdeck-xl/icons/button-creator/plus.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
C - Browse / Rename - Row 1 Col 4,Load A,Square with highlight in TL corner,Ch.10.CC.10,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's 'Load Selected (Deck Common)’ to load selected audio item into Deck A (when Deck Flavour matches audio item type). Bome then applies Decks Layout - Ch.10.CC.31,"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/rectangle.inset.topleft.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
C - Browse / Rename - Row 1 Col 5,Load B,Square with highlight in TR corner,Ch.10.CC.20,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's 'Load Selected (Deck Common)’ to load selected audio item into Deck B (when Deck Flavour matches audio item type). Bome then applies Decks Layout - Ch.10.CC.31,"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/rectangle.inset.topright.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
C - Browse / Rename - Row 1 Col 6,Load C,Square with highlight in BL corner,Ch.10.CC.47,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's 'Load Selected (Deck Common)’ to load selected audio item into Deck C (when Deck Flavour matches audio item type). Bome then applies Decks Layout - Ch.10.CC.31,"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/rectangle.inset.bottomleft.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
C - Browse / Rename - Row 1 Col 7,Load D,Square with highlight in BR corner,Ch.10.CC.73,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,Calls Traktor's 'Load Selected (Deck Common)’ to load selected audio item into Deck D (when Deck Flavour matches audio item type). Bome then applies Decks Layout - Ch.10.CC.31,"src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/rectangle.inset.bottomright.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",6
C - Browse / Rename - Row 2 Col 1,"-,
Playlists,
Samples,
Track Collection",Label,Ch.10.CC.35,Cycle,Various (XML Cycle file),Traktor Virtual Input,Traktor Virtual Output,Sets/Displays Traktor's ‘Selector' (select a predefined browser folder),"Stream Deck Icon Library > Elgato Icons (White) > Tag Icon (Filled, White),

src/streamdeck-xl/plugins/streamdeck-midi-plugin/cycle-files/favourites.xml,
src/traktor/CT6 - Streamdeck XL.tsi",5
C - Browse / Rename - Row 2 Col 2,Clear,Magnifying glass,Ch.10.CC.07,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Focus Search field,

Shifted: Clear Search field","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/magnifyingglass-30.png",6
C - Browse / Rename - Row 2 Col 4,Deck A,HOT CUE RENAME (BOME),Ch.10.CC.88,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,"Previous action: Select Hot Cue using S8,

Click Deck Hot Cue name field,

Next action: Apply name using Stream Deck and/or keyboard","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/cursorarrow.square.fill-30.png",6
C - Browse / Rename - Row 2 Col 5,Deck B,HOT CUE RENAME (BOME),Ch.10.CC.89,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,"Previous action: Select Hot Cue using S8,

Click Deck Hot Cue name field,

Next action: Apply name using Stream Deck and/or keyboard","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/cursorarrow.square.fill-30.png",6
C - Browse / Rename - Row 2 Col 6,Deck C,SLOT RENAME (BOME),Ch.10.CC.92,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,"Previous action: Select Remix Deck Cell using Stream Deck,

Double-click Remix Deck Cell,

Next action: Apply name using Stream Deck and/or keyboard","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/cursorarrow.square.fill-30.png",6
C - Browse / Rename - Row 2 Col 7,Deck D,HOT CUE RENAME (BOME),Ch.10.CC.90,Push,"127 (On), 0 (Off)",Bome MIDI Translator 1,Traktor Virtual Output,"Previous action: Select Hot Cue using S8,

Click Deck Hot Cue name field,

Next action: Apply name using Stream Deck and/or keyboard","src/bome-midi-translator-pro/stream-deck-traktor.bmtp,

src/streamdeck-xl/icons/button-creator/cursorarrow.square.fill-30.png",6
C - Browse / Rename - Row 3 Col 1,Bottom,Down Arrow,Ch.10.CC.09,Hold,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Calls Traktor's 'Selected Up/Down (Browser.List)' (Down) (move down one row, hold to repeat)

Shifted: Calls Traktor's 'Select Top/Bottom' (Bottom) (jumps to bottom of list)","src/streamdeck-xl/icons/button-creator/arrowshape.down.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
C - Browse / Rename - Row 3 Col 2,Preview,Play Arrow,Ch.10.CC.33,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,Calls Traktor's 'Load Selected (Preview Player)’ (preview the selected track),"src/streamdeck-xl/icons/button-creator/arrowtriangle.forward.fill.png,

src/traktor/CT6 - Streamdeck XL.tsi",5
C - Browse / Rename - Row 3 Col 3,Bassline,T,,System: Text,,,,Rename the selected hot cue or slot with this string,"Stock icon for System > Text,",6
C - Browse / Rename - Row 3 Col 4,Drums,T,,System: Text,,,,Rename the selected hot cue or slot with this string,"Stock icon for System > Text,",6
C - Browse / Rename - Row 3 Col 5,FX,T,,System: Text,,,,Rename the selected hot cue or slot with this string,"Stock icon for System > Text,",6
C - Browse / Rename - Row 3 Col 6,Hit,T,,System: Text,,,,Rename the selected hot cue or slot with this string,"Stock icon for System > Text,",6
C - Browse / Rename - Row 4 Col 3,Lead,T,,System: Text,,,,Rename the selected hot cue or slot with this string,"Stock icon for System > Text,",6
C - Browse / Rename - Row 4 Col 4,Pads,T,,System: Text,,,,Rename the selected hot cue or slot with this string,"Stock icon for System > Text,",6
C - Browse / Rename - Row 4 Col 5,Vocals,T,,System: Text,,,,Rename the selected hot cue or slot with this string,"Stock icon for System > Text,",6
